"snapshotDate","hostname","drive","driveFreeBytes","driveCapacityBytes"
"30/12/2017","node1.contoso.com","C","24409273710","1.07E+11"
"29/01/2018","sqlbi-01.datacentre.esendex.com","C","20908138496","42580570112"
"29/01/2018","sqlbi-01.datacentre.esendex.com","E","41784770560","300644499456"
"29/01/2018","sql-01.datacentre.esendex.com","C","102248898560","145607356416"
"29/01/2018","sql-01.datacentre.esendex.com","L","988245590016","1607657783296"
"29/01/2018","sql-01.datacentre.esendex.com","M","1946136018944","10480254910464"
"29/01/2018","sql-01.datacentre.esendex.com","S","4056715243520","4094041255936"
"29/01/2018","sql-01.datacentre.esendex.com","T","500571045888","2046952407040"
"29/01/2018","sql-02.datacentre.esendex.com","C","110403735552","145607356416"
"29/01/2018","sql-02.datacentre.esendex.com","L","1131835150336","1753820950528"
"29/01/2018","sql-02.datacentre.esendex.com","M","1045657559040","9581935718400"
"29/01/2018","sql-02.datacentre.esendex.com","S","1233340080128","4094041255936"
"29/01/2018","sql-02.datacentre.esendex.com","T","257024131072","2046952407040"
"29/01/2018","sql-03.datacentre.esendex.com","C","106394775552","145607356416"
"29/01/2018","sql-03.datacentre.esendex.com","L","943433973760","1607657783296"
"29/01/2018","sql-03.datacentre.esendex.com","M","1788809707520","10480254910464"
"29/01/2018","sql-03.datacentre.esendex.com","S","1085876838400","4094041255936"
"29/01/2018","sql-03.datacentre.esendex.com","T","152885133312","2046952407040"
"29/01/2018","vmario.cssms.local","C","165852340224","858624356352"
"29/01/2018","vmario.cssms.local","D","0","27590656"
"29/01/2018","vmario.cssms.local","E","807135084544","858856030208"
"29/01/2018","vmario.cssms.local","K","10507677696","10701762560"
"29/01/2018","vmario.cssms.local","L","249702952960","493918089216"
"29/01/2018","vmario.cssms.local","M","272626704384","1717983768576"
"29/01/2018","vmario.cssms.local","R","340577103872","2031382163456"
"29/01/2018","vmario.cssms.local","S","379035140096","2029234679808"
"29/01/2018","vmario.cssms.local","T","118020026368","136362061824"
"29/01/2018","vmario.cssms.local","U","32081121280","32209104896"
"29/01/2018","vmario.cssms.local","V","91864895488","214745214976"
"29/01/2018","csvdbcp01.csvoice.com","C","17783640064","85344645120"
"29/01/2018","csvdbcp01.csvoice.com","G","92009992192","214612045824"
"29/01/2018","csvdbcp01.csvoice.com","L","137852514304","295141634048"
"29/01/2018","csvdbcp01.csvoice.com","M","77541732352","321985179648"
"29/01/2018","csvdbcp01.csvoice.com","S","135129669632","246823251968"
"29/01/2018","csvdbcp02.csvoice.com","C","36824170496","85344645120"
"29/01/2018","csvdbcp02.csvoice.com","G","92547706880","214612045824"
"29/01/2018","csvdbcp02.csvoice.com","L","137351864320","295141634048"
"29/01/2018","csvdbcp02.csvoice.com","M","70397128704","321985179648"
"29/01/2018","csvdbcp02.csvoice.com","S","241925746688","246823251968"
